ward,trend,p_value,slope
1,no trend,0.7544541774940892,0.1015584309506915
2,no trend,0.46551216987418664,-0.07252610901053202
3,no trend,0.07633274037635718,-0.21120188088556838
4,no trend,0.6021675277481957,-0.07413290587207783
5,no trend,0.7544541774940892,-0.030467160378534294
6,no trend,0.9169652366288645,-0.05949760580028851
7,no trend,0.7544541774940892,0.03298107103451743
8,no trend,0.7544541774940892,-0.1660156143027592
9,no trend,0.9169652366288645,-0.04329734902472868
10,no trend,0.6021675277481957,-0.19046902030871707
11,no trend,0.7544541774940892,-0.17846875986369098
12,no trend,0.46551216987418664,-0.27765534132439884
13,no trend,0.34808262363292397,-0.23941740563469147
14,no trend,0.9169652366288645,-0.18304663219317474
127,no trend,0.9169652366288645,-0.04554316618235329
128,no trend,0.7544541774940892,-0.11485999498343205
129,no trend,0.7544541774940892,-0.11904978069079153
130,no trend,0.9169652366288645,-0.156900049792934
131,no trend,0.46551216987418664,-0.35684909080455096
132,no trend,0.7544541774940892,-0.11452175408616773
133,no trend,0.7544541774940892,-0.09036441961444529
134,no trend,0.7544541774940892,-0.14540926598377846
135,no trend,0.7544541774940892,-0.17794017120370453
136,no trend,0.17530808080827365,-0.3676200752124019
137,no trend,0.7544541774940892,-0.30006457858361607
138,no trend,0.34808262363292397,-0.4005636377323354
139,no trend,0.46551216987418664,-0.32157183192129024
140,no trend,1.0,-0.03179289547434377
141,no trend,0.6021675277481957,-0.15660903836112228
142,no trend,0.7544541774940892,-0.1236498804826611
143,no trend,0.7544541774940892,-0.11041190080624519
144,no trend,0.9169652366288645,-0.03989646265525797
145,no trend,0.9169652366288645,-0.07228126995903583
146,no trend,1.0,0.009740990385081714
147,no trend,0.9169652366288645,0.06131744362589586
148,no trend,0.7544541774940892,0.06148428129024038
149,no trend,1.0,-0.0029804750524998966
150,no trend,0.9169652366288645,-0.07338903704162902
151,no trend,1.0,-0.0060247422880952
152,no trend,1.0,0.014642116007300386
153,no trend,0.9169652366288645,0.013161561667457338
154,no trend,0.9169652366288645,0.04515118540286108
155,no trend,1.0,-0.016007016179310173
156,no trend,0.7544541774940892,0.1498256185449532
157,no trend,0.6021675277481957,0.17897158091645693
158,no trend,0.7544541774940892,-0.15020937729458161
159,no trend,1.0,-0.0022493847434206238
160,no trend,0.11785089502136503,-0.41377078047966603
161,no trend,0.11785089502136503,-0.2477362807620045
162,no trend,0.6021675277481957,-0.5428348244598569
163,no trend,0.7544541774940892,-0.1770963893834689
164,no trend,0.6021675277481957,-0.42594917333389704
165,no trend,0.9169652366288645,0.08775773463958292
166,no trend,0.9169652366288645,-0.11964918235235267
167,no trend,0.9169652366288645,-0.04944184673802852
